面积（平方米）,价格（元/月）,类别
30,1000,0
42.96,1700,0
54,1300,0
30,1250,0
46.37,3700,2
76.55,2700,0
77,2300,0
90,1900,0
183.72,17000,1
44.19,1700,0
82.4,1500,0
95.93,2600,0
40.96,1900,0
109.85,6000,2
47.8,1300,0
104,2000,0
30,1550,0
56.18,4200,2
30,1000,0
71.97,2600,0
60,2300,0
30,1200,0
125,8000,2
51.04,1900,0
30,1400,0
34.02,1000,0
15,1200,0
47,2100,0
90,5000,2
30,1300,0
50,2200,0
76,1800,0
30,1400,0
46,1900,0
10,830,0
87.12,1500,0
85,2500,0
50.66,3000,0
77,2200,0
85,2550,0
80,1600,0
87,1300,0
93,2800,0
49,2300,0
57.45,2000,0
74,1800,0
90,1550,0
80,1700,0
95,1800,0
40,1600,0
125,3000,0
88,6300,2
83,1600,0
100.87,3800,2
96,2000,0
93.57,4900,2
90,1800,0
88,1500,0
72.2,2600,0
113.97,5200,2
104,5200,2
105,2200,0
67,1800,0
132,3200,2
84,1413,0
72,1500,0
54,1700,0
82,2500,0
55,1750,0
54.73,1700,0
50,1500,0
226,11000,1
59,1500,0
40,1550,0
37,1300,0
97.63,1500,0
55,2600,0
30,1300,0
75,3500,2
50,2300,0
63,1200,0
56.7,2000,0
26,2200,0
35.52,1800,0
80,1200,0
119.86,1750,0
60,2400,0
26,2400,0
62,2300,0
30,1100,0
82,1200,0
77,1600,0
80,2700,0
88.11,3300,2
55,1300,0
92,1000,0
64,2400,0
65,1700,0
85,2300,0
102,3600,2
45,1200,0
44.24,1800,0
25,2100,0
67.09,3000,0
78,1200,0
130,4000,2
100,1400,0
49,2250,0
45,2500,0
89,2800,0
56,1500,0
35,2600,0
96,2500,0
50,1800,0
86.45,2800,0
63,1500,0
110,5000,2
40,1400,0
77.88,3000,0
86,4300,2
88,3500,2
67,3900,2
85,2500,0
52.33,3000,0
94,3600,2
60,1500,0
58,1200,0
89.05,2400,0
40.5,1600,0
76,1100,0
56,2500,0
82,1100,0
50,2500,0
44,1500,0
77,1200,0
60.47,2600,0
92.67,1550,0
92,1900,0
78,1500,0
40,999,0
55,1400,0
135.06,6500,2
54.87,1700,0
30,998,0
124,3500,2
150,6500,2
85,1100,0
30,1100,0
33.24,1500,0
37,1300,0
60,2600,0
89,6300,2
80,2800,0
45,1400,0
49,2200,0
87,1600,0
32,1500,0
82,2300,0
56.18,1700,0
30,1100,0
92,1800,0
50,1400,0
60,2000,0
58.98,2400,0
43,1350,0
34.18,1800,0
60,3600,2
76,1850,0
60,900,0
49.75,1000,0
40,2000,0
106,4000,2
50,2490,0
73.45,2200,0
58,3000,0
103,3500,2
61,1800,0
170,9999,1
125,2500,0
47.51,2300,0
56,1900,0
95,1400,0
92.23,2400,0
30,1200,0
55.74,3100,2
96,1500,0
81.88,1500,0
98.83,2300,0
84,1600,0
89,1250,0
50,3400,2
202,9000,2
65.33,3100,2
95,3200,2
63,1500,0
50,1300,0
60,1900,0
54.33,2600,0
240,5000,2
60,1500,0
30,1600,0
40,1350,0
63.17,2400,0
48,1800,0
75,1500,0
65,3300,2
71,2300,0
52.71,2900,0
38,1700,0
30.18,900,0
