面积,价格,所在街道
30,1000,梨双路
42.96,1700,华龙道80号
54,1300,北辰路
30,1250,津滨大道
46.37,3700,滨江道221号
76.55,2700,艳阳路
77,2300,津滨大道
90,1900,"双新大道,近顺境路"
183.72,17000,滨江道41号
44.19,1700,华龙道80号
82.4,1500,双进道
95.93,2600,顺义道67号
40.96,1900,昆纬路99号
109.85,6000,凌宾路
47.8,1300,京津路1号
104,2000,杭州道
30,1550,卫国道157号
56.18,4200,卫津路171号
30,1000,栖霞道
71.97,2600,"八纬路,近十五经路"
60,2300,南京路125号
30,1200,"鑫怡路,近建明道"
125,8000,滨江道41号
51.04,1900,"芥园道,近怡华路"
30,1400,"富安路,近津塘公路"
34.02,1000,解放路
15,1200,"华宁道,近盈江路"
47,2100,艳阳路
90,5000,"海河东路,近黑牛城道"
30,1300,317省道
50,2200,"新开路,近华龙道"
76,1800,塘汉路789号
30,1400,卫国道157号
46,1900,苑东路73号
10,830,北辰道
87.12,1500,富民道
85,2500,津涞公路
50.66,3000,琳科西路
77,2200,中心大道66号
85,2550,"大连东道,近春风路"
80,1600,芦北路
87,1300,光明道
93,2800,秀川路215号
49,2300,南泥湾路4号
57.45,2000,"泗水道,近梅林路"
74,1800,梨双路
90,1550,高泰路
80,1700,芦北路
95,1800,"泉州路,近来源道"
40,1600,卉锦道
125,3000,"滨河南路,近河南东路"
88,6300,南京路
83,1600,"团结路,近强国道"
100.87,3800,华龙道
96,2000,南华路9号
93.57,4900,宾水西道
90,1800,人民西大街
88,1500,汉港公路
72.2,2600,海泰南北大街
113.97,5200,宾水西道
104,5200,宾水西道
105,2200,京津公路
67,1800,"鑫怡路,近平凡道"
132,3200,芥园西道
84,1413,"天和路,近于庄路"
72,1500,芦北路
54,1700,南口路
82,2500,海河东路76号
55,1750,"津涞公路,近工一号路"
54.73,1700,南口路
50,1500,京津路1号
226,11000,"北城街,近城厢东路"
59,1500,果园东路
40,1550,卫国道157号
37,1300,临水道
97.63,1500,果园北道36号
55,2600,南京路125号
30,1300,海泰南北大街
75,3500,"宾水西道,近凌宾路"
50,2300,"直沽街,近津塘村道"
63,1200,汇川路
56.7,2000,华苑东路21号
26,2200,拉萨道4号
35.52,1800,南丰路138号
80,1200,辛老路
119.86,1750,万河路
60,2400,富有道
26,2400,拉萨道4号
62,2300,飞云道30号
30,1100,鑫怡路
82,1200,东方红路
77,1600,雅润路
80,2700,艳阳路
88.11,3300,光荣道113号
55,1300,安达路
92,1000,"潮阳大道,近开元路"
64,2400,红旗路181号
65,1700,付村路
85,2300,港滨路
102,3600,"航海道,近东七道"
45,1200,京山南道
44.24,1800,奥运路11
25,2100,拉萨道4号
67.09,3000,钢厂路
78,1200,开元路
130,4000,卫津南路150号
100,1400,林海路
49,2250,南泥湾路4号
45,2500,"解放南路,近浯水道"
89,2800,宜白路
56,1500,"翠通路,近前进道"
35,2600,拉萨道4号
96,2500,津塘公路792号
50,1800,普济河东道
86.45,2800,琳科西路
63,1500,世纪大道
110,5000,"第二大街,近北海路"
40,1400,汇川路
77.88,3000,顺达路
86,4300,南城街857号
88,3500,江湾路
67,3900,大沽南路934号
85,2500,荣盛路
52.33,3000,"八纬路,近十五经路"
94,3600,郁江道
60,1500,雅润路
58,1200,南华路
89.05,2400,惠山道
40.5,1600,华龙道80号
76,1100,"青致路,近新华道"
56,2500,北长路1号
82,1100,东方红路
50,2500,南昌路68号
44,1500,河北路1431号
77,1200,环城西路
60.47,2600,艳阳路
92.67,1550,情景大道
92,1900,新景道
78,1500,中心北路1740号
40,999,津榆支路
55,1400,胜利街571号
135.06,6500,岳阳道88号
54.87,1700,环湖中路16号
30,998,梨双公路
124,3500,"凤山道,近鲁山道"
150,6500,南京路39号
85,1100,环城东路
30,1100,工一号路
33.24,1500,芥园道
37,1300,陵水道
60,2600,"宾水道,近沿河路"
89,6300,南京路
80,2800,红旗南路490号
45,1400,楚雄西道
49,2200,西关大街50号
87,1600,京津路1号
32,1500,大沽南路936号
82,2300,"新家园路,近景茗道"
56.18,1700,天泰路52号
30,1100,工一号路
92,1800,小淀路
50,1400,领世路
60,2000,辰水道1号
58.98,2400,光荣道221号
43,1350,咸阳路
34.18,1800,中心大道66号
60,3600,琳科西路
76,1850,高新大道33号
60,900,香林路
49.75,1000,银河大道1号
40,2000,"吴家窑大街,近贵州路"
106,4000,张自忠路1号
50,2490,长青路
73.45,2200,京津路1号
58,3000,园荫道6号
103,3500,新开路136号
61,1800,车站北路5号
170,9999,新兴路1号
125,2500,抚仙湖路
47.51,2300,北城街
56,1900,雅乐道
95,1400,"南城东路,近林海路"
92.23,2400,
30,1200,"景茗道,近微山南路"
55.74,3100,城厢东路56号
96,1500,天嘉湖大道
81.88,1500,果园北道3号
98.83,2300,银河五路
84,1600,小淀路
89,1250,"广贤路,近世广道"
50,3400,解放南路
202,9000,洞庭路
65.33,3100,"春雨路,近芥园道"
95,3200,瑞雪路
63,1500,景荷道
50,1300,南口路
