面积,价格,所在街道,prediction
30,1000,梨双路,0
42.96,1700,华龙道80号,0
54,1300,北辰路,0
30,1250,津滨大道,0
46.37,3700,滨江道221号,4
76.55,2700,艳阳路,4
77,2300,津滨大道,4
90,1900,"双新大道,近顺境路",0
183.72,17000,滨江道41号,1
44.19,1700,华龙道80号,0
82.4,1500,双进道,0
95.93,2600,顺义道67号,4
40.96,1900,昆纬路99号,0
109.85,6000,凌宾路,3
47.8,1300,京津路1号,0
104,2000,杭州道,0
30,1550,卫国道157号,0
56.18,4200,卫津路171号,3
30,1000,栖霞道,0
71.97,2600,"八纬路,近十五经路",4
60,2300,南京路125号,4
30,1200,"鑫怡路,近建明道",0
125,8000,滨江道41号,3
51.04,1900,"芥园道,近怡华路",0
30,1400,"富安路,近津塘公路",0
34.02,1000,解放路,0
15,1200,"华宁道,近盈江路",0
47,2100,艳阳路,4
90,5000,"海河东路,近黑牛城道",3
30,1300,317省道,0
50,2200,"新开路,近华龙道",4
76,1800,塘汉路789号,0
30,1400,卫国道157号,0
46,1900,苑东路73号,0
10,830,北辰道,0
87.12,1500,富民道,0
85,2500,津涞公路,4
50.66,3000,琳科西路,4
77,2200,中心大道66号,4
85,2550,"大连东道,近春风路",4
80,1600,芦北路,0
87,1300,光明道,0
93,2800,秀川路215号,4
49,2300,南泥湾路4号,4
57.45,2000,"泗水道,近梅林路",0
74,1800,梨双路,0
90,1550,高泰路,0
80,1700,芦北路,0
95,1800,"泉州路,近来源道",0
40,1600,卉锦道,0
125,3000,"滨河南路,近河南东路",4
88,6300,南京路,3
83,1600,"团结路,近强国道",0
100.87,3800,华龙道,3
96,2000,南华路9号,0
93.57,4900,宾水西道,3
90,1800,人民西大街,0
88,1500,汉港公路,0
72.2,2600,海泰南北大街,4
113.97,5200,宾水西道,3
104,5200,宾水西道,3
105,2200,京津公路,4
67,1800,"鑫怡路,近平凡道",0
132,3200,芥园西道,4
84,1413,"天和路,近于庄路",0
72,1500,芦北路,0
54,1700,南口路,0
82,2500,海河东路76号,4
55,1750,"津涞公路,近工一号路",0
54.73,1700,南口路,0
50,1500,京津路1号,0
226,11000,"北城街,近城厢东路",1
59,1500,果园东路,0
40,1550,卫国道157号,0
37,1300,临水道,0
97.63,1500,果园北道36号,0
55,2600,南京路125号,4
30,1300,海泰南北大街,0
75,3500,"宾水西道,近凌宾路",4
50,2300,"直沽街,近津塘村道",4
63,1200,汇川路,0
56.7,2000,华苑东路21号,0
26,2200,拉萨道4号,4
35.52,1800,南丰路138号,0
80,1200,辛老路,0
119.86,1750,万河路,0
60,2400,富有道,4
26,2400,拉萨道4号,4
62,2300,飞云道30号,4
30,1100,鑫怡路,0
82,1200,东方红路,0
77,1600,雅润路,0
80,2700,艳阳路,4
88.11,3300,光荣道113号,4
55,1300,安达路,0
92,1000,"潮阳大道,近开元路",0
64,2400,红旗路181号,4
65,1700,付村路,0
85,2300,港滨路,4
102,3600,"航海道,近东七道",4
45,1200,京山南道,0
44.24,1800,奥运路11,0
25,2100,拉萨道4号,4
67.09,3000,钢厂路,4
78,1200,开元路,0
130,4000,卫津南路150号,3
100,1400,林海路,0
49,2250,南泥湾路4号,4
45,2500,"解放南路,近浯水道",4
89,2800,宜白路,4
56,1500,"翠通路,近前进道",0
35,2600,拉萨道4号,4
96,2500,津塘公路792号,4
50,1800,普济河东道,0
86.45,2800,琳科西路,4
63,1500,世纪大道,0
110,5000,"第二大街,近北海路",3
40,1400,汇川路,0
77.88,3000,顺达路,4
86,4300,南城街857号,3
88,3500,江湾路,4
67,3900,大沽南路934号,3
85,2500,荣盛路,4
52.33,3000,"八纬路,近十五经路",4
94,3600,郁江道,4
60,1500,雅润路,0
58,1200,南华路,0
89.05,2400,惠山道,4
40.5,1600,华龙道80号,0
76,1100,"青致路,近新华道",0
56,2500,北长路1号,4
82,1100,东方红路,0
50,2500,南昌路68号,4
44,1500,河北路1431号,0
77,1200,环城西路,0
60.47,2600,艳阳路,4
92.67,1550,情景大道,0
92,1900,新景道,0
78,1500,中心北路1740号,0
40,999,津榆支路,0
55,1400,胜利街571号,0
135.06,6500,岳阳道88号,3
54.87,1700,环湖中路16号,0
30,998,梨双公路,0
124,3500,"凤山道,近鲁山道",4
150,6500,南京路39号,3
85,1100,环城东路,0
30,1100,工一号路,0
33.24,1500,芥园道,0
37,1300,陵水道,0
60,2600,"宾水道,近沿河路",4
89,6300,南京路,3
80,2800,红旗南路490号,4
45,1400,楚雄西道,0
49,2200,西关大街50号,4
87,1600,京津路1号,0
32,1500,大沽南路936号,0
82,2300,"新家园路,近景茗道",4
56.18,1700,天泰路52号,0
30,1100,工一号路,0
92,1800,小淀路,0
50,1400,领世路,0
60,2000,辰水道1号,0
58.98,2400,光荣道221号,4
43,1350,咸阳路,0
34.18,1800,中心大道66号,0
60,3600,琳科西路,4
76,1850,高新大道33号,0
60,900,香林路,0
49.75,1000,银河大道1号,0
40,2000,"吴家窑大街,近贵州路",0
106,4000,张自忠路1号,3
50,2490,长青路,4
73.45,2200,京津路1号,4
58,3000,园荫道6号,4
103,3500,新开路136号,4
61,1800,车站北路5号,0
170,9999,新兴路1号,1
125,2500,抚仙湖路,4
47.51,2300,北城街,4
56,1900,雅乐道,0
95,1400,"南城东路,近林海路",0
30,1200,"景茗道,近微山南路",0
55.74,3100,城厢东路56号,4
96,1500,天嘉湖大道,0
81.88,1500,果园北道3号,0
98.83,2300,银河五路,4
84,1600,小淀路,0
89,1250,"广贤路,近世广道",0
50,3400,解放南路,4
202,9000,洞庭路,1
65.33,3100,"春雨路,近芥园道",4
95,3200,瑞雪路,4
63,1500,景荷道,0
50,1300,南口路,0
60,1900,京津路,0
54.33,2600,红旗路388号,4
240,5000,禄源道13号,3
60,1500,咸阳北路,0
30,1600,"津滨大道,近琳科中路",0
40,1350,中北大道94号,0
63.17,2400,艳阳路,4
48,1800,黄海路8号,0
75,1500,杨崔路,0
65,3300,津港路,4
71,2300,东马路,4
52.71,2900,"福安大街,近南市大街",4
38,1700,梅苑路,0
30.18,900,北辰路,0
45,1750,"齐河路,近东平路",0
57.08,2800,华苑路,4
84.92,2900,月牙河南路35号,4
92.04,1700,顺畅路16号,0
58.8,1600,果园东路,0
87,2300,港滨路961号,4
45,2000,昆仑路,0
18,760,咸阳路,0
86,1700,嘉园路,0
106,1500,津港公路,0
60,1300,津港公路,0
45,2200,昆仑路,4
107.1,1500,京津路1号,0
59.78,1200,"双川道,近双辰北路",0
128,6000,洞庭路92号,3
42.46,1500,中心北路1740号,0
90.65,4200,"月牙河南路,近海河东路",3
54.73,3000,绵阳道22号,4
20,950,新环路,0
82.41,1200,双进道,0
20,750,外环南路,0
40,700,津塘公路,0
40,700,津塘公路,0
105.84,2000,云丽北道18号,0
66,1700,泰兴路,0
39.07,3500,南昌路70号,4
55,2800,气象台路22号,4
43,2300,珠江道25号,4
45,3000,环湖北道6号,4
38.98,3200,"八纬路,近大直沽西路",4
84,1500,"福东路,近津塘路",0
78,800,同旺路2号,0
81.9,2400,红旗南路,4
77.78,1900,雪山路,0
94,2000,津滨大道,0
45,1800,微山路38号,0
71.28,3500,"文静路,近宾馆路",4
47,1200,果园东路6号,0
40,1100,富民路,0
87.06,4200,卫津南路,3
84,800,宝白公路,0
80.9,1600,双东路4号,0
74,1500,"团结路,近强国道",0
44,1300,虎丘路,0
83,1200,"昌盛路,近寿昌路",0
150,1000,宝白公路,0
41,1650,鞍山西道,0
90.96,2800,胜利路174号,4
75,900,同旺路2号,0
100,2300,碧欣路16号,4
61,1300,外环西路,0
51.92,1600,学苑路40号,0
60,1200,福州道55号,0
87.01,1700,"闸南路,近东台路",0
38,850,华东道,0
83,1500,梨双公路,0
54.21,1800,真理道47号,0
67.67,1900,芥园西道,0
75,900,津同公路151号,0
39.43,1700,弘贯道,0
70,1200,柳霞路7号,0
41.08,1550,"泗水道,近微山路",0
80,1100,光明路7号,0
60,1800,中心大道66号,0
64,1500,天津大道,0
79,1000,南付营路,0
52.05,2800,城厢东路56号,4
58,1400,宜白路1728号,0
90,2000,春源道,0
85,1900,"弘顺道,近华瑞路",0
45,1500,"光荣道,近丁字沽三号路",0
200,10500,荣业大街76号,1
50,3000,围堤道118号,4
84,1500,京津公路,0
84,1400,青致路2号,0
230,4500,郎庄子道,3
53,3000,"北城街,近城厢东路",4
107,2000,津港公路,0
85,1600,湖西路,0
91,1900,嘉顺路,0
115,1700,"天和路,近于庄路",0
85,2650,华苑东路,4
49.85,2500,吴家窑大街19号,4
54,3200,"天塔道,近卫津南路",4
57,3100,"古海道,近台儿庄路",4
74,1500,泽杨道,0
45,1375,中北大道94号,0
54,1600,爱贤道,0
95,2600,瑞雪路,4
58.08,1700,均胜路,0
49.88,2100,红旗路388号,4
18,1150,红旗南路516号,0
30,1300,外环西路,0
61.52,1300,北辰西道,0
56.08,3000,城厢东路209号,4
43,1600,河北路1431号,0
89,1500,津文线,0
89.95,2600,龙山道,4
30,1200,中北大道94号,0
202.18,10000,洞庭路,1
78,1400,233国道,0
94.25,4500,琳科西路,3
50,1700,汪庄村中街,0
95,2000,新景道,0
73,1300,果园北道3号,0
65,2800,北长路1号,4
102,3590,"航海道,近东七道",4
89.31,2800,惠山道,4
30,1200,"辰景路,近新园路",0
125,4500,北海路,3
84,2800,"泰佳道,近瑶琳路",4
92,2500,天河东路,4
