价格,区
1000,西青
1700,河东
1300,北辰
1250,东丽
3700,和平
2700,南开
2300,东丽
1900,北辰
17000,和平
1700,河东
1500,北辰
2600,北辰
1900,河北
6000,南开
1300,北辰
2000,塘沽
1550,河东
4200,和平
1000,河东
2600,河东
2300,和平
1200,津南
8000,和平
1900,红桥
1400,东丽
1000,塘沽
1200,南开
2100,南开
5000,河东
1300,津南
2200,河东
1800,塘沽
1400,河东
1900,南开
830,北辰
1500,武清
2500,西青
3000,河东
2200,东丽
2550,塘沽
1600,西青
1300,武清
2800,西青
2300,南开
2000,河西
1800,西青
1550,西青
1700,西青
1800,武清
1600,西青
3000,塘沽
6300,和平
1600,武清
3800,河东
2000,津南
4900,南开
1800,蓟州
1500,大港
2600,西青
5200,南开
5200,南开
2200,武清
1800,津南
3200,西青
1413,武清
1500,西青
1700,河北
2500,河北
1750,西青
1700,河北
1500,北辰
11000,南开
1500,北辰
1550,河东
1300,红桥
1500,北辰
2600,和平
1300,西青
3500,南开
2300,河东
1200,津南
2000,南开
2200,和平
1800,南开
1200,西青
1750,北辰
2400,河西
2400,和平
2300,南开
1100,津南
1200,静海
1600,津南
2700,南开
3300,红桥
1300,北辰
1000,宝坻
2400,南开
1700,西青
2300,塘沽
3600,东丽
1200,塘沽
1800,开发区
2100,和平
3000,河东
1200,宝坻
4000,南开
1400,宝坻
2250,南开
2500,河西
2800,北辰
1500,武清
2600,和平
2500,塘沽
1800,北辰
2800,河东
1500,大港
5000,开发区
1400,西青
3000,河东
4300,南开
3500,西青
3900,河西
2500,滨海新区
3000,河东
3600,河西
1500,津南
1200,津南
2400,东丽
1600,河东
1100,西青
2500,河东
1100,静海
2500,河西
1500,塘沽
1200,宝坻
2600,南开
1550,东丽
1900,北辰
1500,塘沽
999,宁河
1400,大港
6500,和平
1700,河西
998,西青
3500,河东
6500,河西
1100,宝坻
1100,西青
1500,红桥
1300,河西
2600,河西
6300,和平
2800,南开
1400,西青
2200,红桥
1600,北辰
1500,河西
2300,津南
1700,河北
1100,西青
1800,北辰
1400,津南
2000,河西
2400,红桥
1350,红桥
1800,东丽
3600,河东
1850,北辰
900,蓟州
