待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,南 满二年 次新房 ,138,15428
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南北 热门小区 新上小区 优势户型 ,135,15883
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南 热门小区 配套成熟 随时可看 ,129,15895
南向采光好 交通便捷 医疗配套成熟 满五 电梯房,2室,2厅,1卫,90,南,低层(共17层),2017年建造,紫泉庭苑,武清,杨村街,上善大街57号,南 满五年 采光较好 ,138,15334
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,南 满五年 ,122,14157
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,振华西道 近泉达路,南 满五年 ,148,15698
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南北 满五年 绿化率高 ,120,14728
桃源居精装修三室 带赠送中间层全明户型 有地铁诚心卖,3室,2厅,1卫,92,南北,中层(共31层),2018年建造,桃源观邸,塘沽,工农村街,云山道 近靖海路,南北 热门小区 配套成熟 优势户型 ,118,12827
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南 满五年 绿化率高 ,120,14590
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,134,15262
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,南北 满二年 次新房 ,137,16310
枫桦园精装两室 中间楼层 地采暖全阳户型 随时看 价格可议,2室,2厅,1卫,86,南,中层(共25层),2013年建造,枫桦园,西青,中北,中北大道94号,南 满五年 ,125,14535
富力尚悦居 装修好 中间好楼层 房龄新 满五 小三房,3室,2厅,1卫,91.21,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南 满五年 ,128,14034
次新房 正南朝向 电梯房 小三房 停车方便 满二,3室,2厅,1卫,94,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,南 热门小区 价格优惠 房东急售 ,135,14362
香雍玖和 次新小区 高绿化 朝南 刚需小三居 满二 超低密度,3室,2厅,1卫,100,南,高层(共24层),2021年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南 满二年 绿化率高 多人关注 ,125,12500
中层金角）拎包即住）本业主熟）直售 少）随时走手续,3室,2厅,1卫,94.98,南,中层(共22层),2019年建造,旭辉燕南园,西青,精武,京华道21号,南 满二年 绿化率高 ,145,15267
盛世郦园 产权清晰 大两居 电梯房 商圈成熟 高楼层视野好,2室,2厅,1卫,94.28,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,振华西道 近泉达路,南 满二年 ,136,14426
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 人气热搜 ,132,15000
经纬城市绿洲学知华庭 满二 刚需两居 中间楼层 朝南 带电梯,2室,2厅,1卫,86.22,南,中层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 热门小区 价格优惠 房东急售 ,90,10439
刚需小三居 带电梯 满五   楼龄新 商业配套齐全 朝南,3室,2厅,1卫,89.54,南,低层(共9层),2015年建造,万科四季花城雅园,西青,张家窝,文苑路,南 满五年 人气热搜 ,130,14519
远洋新干线 南北通透 板楼 大产权 带电梯 刚需房,3室,1厅,1卫,86,南北,低层(共13层),2010年建造,远洋新干线,东丽,空港经济区,流霞路 近东六道,南北 满五年 ,130,15117
中交樾公馆 大两居 南北通透 满五 带电梯 房龄新,2室,1厅,1卫,85,南北,中层(共17层),2016年建造,中交樾公馆,西青,张家窝,枣林大道21号,南北 满五年 户型方正 人气热搜 ,111,13059
旭辉御府 不临高铁 好楼层 满5年无个税,3室,2厅,1卫,91.98,南北,高层(共27层),2015年建造,旭辉御府,西青,中北,卉康道 近海光路,南北 绿化率高 多人关注 ,125.4,13634
张家窝 满五 精装好房 正南朝向 电梯房 居住密度低 小区新,3室,2厅,1卫,87.97,南,高层(共11层),2014年建造,星河香榭园,西青,张家窝,高泰路 近知景道,南 满五年 绿化率高 多人关注 ,122,13869
远洋未来城冬博苑 出行方便 满二   大两居 商业配套成熟,2室,2厅,1卫,88,南北,高层(共22层),2021年建造,远洋未来城冬博苑,北辰,普东街,宜白路,南北通透 价格优惠 房东急售 ,128,14546
杨村街 小区新 满五   大两居 装修好 低密宜居 正南朝向,2室,2厅,1卫,86.29,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,光明道 近翠源路,南 满五年 ,115,13328
秋瑞家园 医疗配套成熟 电梯房 交通便利 满五  ,2室,1厅,1卫,86.92,南,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南 满五年 近地铁 ,93,10700
出售 光明中  金都花园 通透两居低楼层  近  ,2室,2厅,1卫,86.29,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,光明道 近翠源路,南 满二年 ,120,13907
高楼层采光充足 小区新 满五   带电梯 南向采光好,2室,2厅,1卫,81.42,南,高层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南 满五年 ,125,15353
全明婚房2居室 地采暖 满五年 中间层,2室,2厅,1卫,80.77,南,低层(共26层),2016年建造,正荣润璟湾,西青,中北,御河道 近曦露路,南 绿化率高 多人关注 ,120,14858
华亭国际洋房 低楼层 公摊少 南北通透全明装修好,2室,2厅,1卫,87.27,南北,低层(共6层),2007年建造,华亭国际,西青,中北,中北大道 近星光路,南北 ,140,16043
中北镇次新小区精装三室 装修的很好 中高楼层 诚心出售 抓紧,3室,1厅,1卫,91.05,南北,高层(共26层),2015年建造,旭辉御府,西青,中北,卉康道 近海光路,南北 满五年 绿化率高 多人关注 ,126,13839
急售 十三小 十一中 新城悦隽央著 总价低 看房方便,2室,2厅,1卫,86.49,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,120,13875
雍鑫红星华府通户型 好楼层看房方便 精装修,2室,2厅,1卫,87.32,南北,中层(共17层),2019年建造,雍鑫红星华府,武清,杨村街,新安路,南北 满二年 次新房 ,135,15461
振业名邸 急售！红桥房本红桥   交通教育医疗资源富集 次新,2室,1厅,1卫,92.38,南,高层(共23层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,南 满五年 近地铁 人气热搜 ,139,15047
瞧一瞧看一咯 十一中十三小 新小区龙湖春江天玺三居。,3室,2厅,2卫,107,南北,低层(共7层),2023年建造,龙湖春江天玺,武清,豆张庄镇,新兴路,南北 热门小区 ,125,11683
杨村街 商品住宅 小区新 南向采光好 高楼层视野好 满二,3室,2厅,1卫,107.36,南,高层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,南 满二年 人气热搜 ,128,11923
碧泉花园 正南朝向 购物方便 大两居,2室,1厅,1卫,88,南,低层(共6层),2006年建造,碧泉花园,西青,杨柳青,柳霞路,南 ,120,13637
杨村街 板楼 大两居 南北通透 精装修 70年产权,2室,2厅,1卫,81,南北,低层(共32层),2014年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南北 满五年 户型方正 ,133,16420
杨村街 刚需两居 高楼层视野无遮挡 楼龄新 朝南 有电梯,2室,2厅,0卫,87.32,南,高层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南 满二年 ,120,13743
杨村街 楼龄新 商业配套齐全 环境优美 带电梯 中间好楼层,2室,2厅,1卫,83.54,南北,中层(共11层),2015年建造,五一阳光锦园,武清,杨村街,团结路 近强国道,南北 满五年 绿化率高 ,126,15083
隆达新苑 刚需两居 南北通透 交通便捷 满五 近地铁,2室,1厅,1卫,91.16,南北,高层(共31层),2013年建造,隆达新苑,河北,江都路街,增光道 近重光路,热门小区 南北通透 房东急售 ,135,14810
业主诚售~光明 中富力尚悦居 南向采光好 楼龄新 两居 满五,2室,2厅,1卫,81.31,南,低层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南 满五年 ,120,14759
