武清,南湖,花乡家园,95,3室2厅1卫,精装修,南 北,无,民水,民电,有,集中供暖,季付,1200,0,['精装'  '集中供暖'  '随时看房']
河西,马场街,中央公馆,41.62,1室1厅1卫,精装修,东,有,民水,民电,无,集中供暖,季付,2000,200,['官方核验'  '新上'  '近地铁'  '精装'  '集中供暖'  '随时看房']
宝坻,建设路,建设路小区,115.71,3室1厅1卫,精装修,南 北,无,暂无数据,暂无数据,有,集中供暖,年付,900,0,['精装'  '集中供暖'  '随时看房']
和平,体育馆街,诚基经贸中心,58.21,1室1厅1卫,精装修,北,有,民水,民电,无,暂无数据,季付,2300,1150,['公寓'  '独立卫生间'  '月租'  '近地铁'  '精装'  '独立阳台'  '随时看房']
南开,体育中心街,阳光壹佰北园,102.5,2室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,季付,6600,0,['精装'  '集中供暖'  '随时看房']
河西,友谊路,天成公寓,14,4室1厅2卫,精装修,南,无,民水,民电,有,集中供暖,月付,1300,135,['公寓'  '近地铁'  '精装'  '独立阳台'  '集中供暖'  '押一付一'  '随时看房']
河东,中山门街,友爱东里,97,2室1厅1卫,精装修,南 北,无,民水,民电,有,集中供暖,季付,2700,0,['精装'  '集中供暖'  '随时看房']
南开,长虹街,雅园里,39.86,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,月付,2446,244.6,['公寓'  '近地铁'  '精装'  '集中供暖'  '押一付一'  '随时看房']
北辰,宜兴埠,金地成宁府,10.3,4室1厅1卫,精装修,南,有,民水,民电,有,集中供暖,月付,1081,108.1,['公寓'  '近地铁'  '精装'  '集中供暖'  '押一付一'  '随时看房']
南开,广开街,级升里,35.47,1室1厅1卫,精装修,南 北,无,民水,民电,有,集中供暖,季付,2300,0,['近地铁'  '精装'  '集中供暖'  '随时看房']
河东,向阳楼,昕旺北苑,14.5,3室1厅1卫,精装修,南,有,民水,民电,有,集中供暖,月付,1953,195.3,['公寓'  '独立卫生间'  '近地铁'  '精装'  '集中供暖'  '押一付一']
东丽,华明镇,华润橡树湾留润轩,7.5,3室1厅1卫,精装修,西,有,民水,民电,有,集中供暖,月付,871,87.1,['公寓'  '精装'  '集中供暖'  '押一付一'  '随时看房']
西青,中北镇,富力湾天阔园,13.4,3室1厅1卫,精装修,南,有,民水,民电,有,集中供暖,月付,1354,135.4,['公寓'  '精装'  '集中供暖'  '押一付一']
南开,万兴街,三潭东里,30.73,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,季付,2800,0,['近地铁'  '精装'  '集中供暖'  '随时看房']
东丽,空港经济区,海航YOHO,50.98,2室1厅2卫,精装修,南,有,商水,商电,无,集中供暖,季付,1850,185,['精装'  '集中供暖'  '双卫生间'  '随时看房'  '非居住房屋']
西青,精武镇,盛兴佳园,14.2,4室1厅1卫,精装修,南,有,民水,民电,有,集中供暖,月付,1039,103.9,['公寓'  '精装'  '集中供暖'  '押一付一']
南开,王顶堤,华宁北里,38.27,1室1厅1卫,精装修,南,无,民水,民电,有,集中供暖,月付,2614,261.4,['公寓'  '近地铁'  '精装'  '集中供暖'  '押一付一']
武清,高村,首创国际半岛采薇雅苑,86.43,2室1厅1卫,精装修,南,有,民水,民电,有,自采暖,季付,1500,0,['精装'  '随时看房']
津南,双林,象博豪庭,8.6,4室1厅1卫,精装修,北,有,民水,民电,有,集中供暖,月付,976,97.6,['公寓'  '精装'  '集中供暖'  '押一付一'  '随时看房']
河东,二号桥街,河东融科瀚棠,17,3室1厅1卫,精装修,南,有,民水,民电,有,集中供暖,月付,1300,130,['公寓'  '月租'  '精装'  '集中供暖'  '押一付一'  '随时看房']
