FID,NAME,KIND
0,大沙河初级中学,A703
1,北七村中心小学,A702
2,利尚屯中心幼儿园,A701
3,碱厂中心小学,A702
4,南开区教育局百花幼儿园,A701
5,北辰区模范小学,A702
6,葛沽荣程幼儿园,A701
7,天津师范大学,A700
8,南开区水上小学仁爱校区,A702
9,天津市化学工业学校,A708
10,南开区第四幼儿园,A701
11,河西区澧水道小学,A702
12,天津青年职业学院,A700
13,天津职业大学北门,A700
14,天津现代艺术职专,A708
15,天津市回民中学,A703
16,西营门外小学,A702
17,居华里幼儿园,A701
18,天津理工大学新校区,A700
19,天津华夏管理进修学院,A700
20,天津医科大学南门,A700
21,天津崇化中学,A703
22,天津农学院,A700
23,河北工业大学东院,A700
24,天津体育学院,A700
25,天津中医药大学,A700
26,卫东路小学,A702
27,天津市南开汽车维修学校,A709
28,天津财贸管理干部学院,A700
29,天津市美术中学,A703
30,天津市华夏专修学院,A700
31,天津市社会主义学院,A700
32,天津市天工机电技术学校,A708
33,天津中学南门,A703
34,微山路中学西校区,A703
35,南开大学南门,A700
36,南开大学西门,A700
37,水上小学红旗南路校区,A702
38,南湖小学,A702
39,天津美术学校冶金路校区,A708
40,赵庄中心小学,A702
41,灰堆第一小学,A702
42,天津中北中学,A703
43,天津音乐学院北校区,A700
44,田丽小学,A702
45,蓟县师范学校附属小学,A702
46,水上小学温泉校区,A702
47,开发区国际学校天津分校,A703
48,金贝贝幼儿园,A701
49,天津广播电视大学建筑工程学院,A700
50,新起点幼儿园,A701
51,南开区十五幼儿园,A701
52,天津市物资贸易学校,A708
53,邵公庄小学,A702
54,天津广播电视大学,A700
55,天津市兴南中学,A703
56,鞍山道小学,A702
57,群星小学分校,A702
58,天津五十一中学,A703
59,天津大学北门,A700
60,天津市老年人大学,A709
61,大任庄小学,A702
62,大任庄幼儿园,A701
63,天津大学网络教育学院,A700
64,慧翔职专,A708
65,津南区宋庄小学,A702
66,大安小学,A702
67,国土资源和房屋职业学院,A700
68,南开大学,A700
69,天津大学,A700
70,天津美术学院北院,A700
71,天津市第一百中学,A703
72,杨柳青一中,A703
73,西青区委党校,A700
74,天津理工大学中环信息学院,A700
75,天津市南洋工业学校,A708
76,武清区特殊教育学校,A709
77,杨村三小,A702
78,四里沽联合小学,A702
79,水上小学,A702
80,炮台庄第一幼儿园,A701
81,中德职业技术学院北院,A708
82,北辰区实验小学,A702
83,瑞景小学,A702
84,天津市宝坻区奥拓幼儿园,A701
85,静海镇第三小学,A702
86,河北区实验小学,A702
87,天津师范大学第二附属小学分校,A702
88,建设路小学,A702
89,新星小学分校,A702
90,北辰区教师进修学校,A709
91,杨柳青二中,A703
92,宝坻区职工卫生学校,A708
93,茶淀中学,A703
94,南洋中学,A703
95,南开区五马路小学新校区,A702
96,泰达第二幼儿园,A701
97,天津市咸水沽第一中学,A703
98,河东三幼,A701
99,友爱道小学,A702
100,王家场小学,A702
101,天津市烹饪技术学校,A708
102,河东宝宝乐幼儿园,A701
103,天津二十中学北校区,A703
104,路华中学,A703
105,天津电大大港分校奥鹏远程教育学习中心,A709
106,大港区教师进修学校,A709
107,天津市塘沽第一中学,A703
108,沿河小学,A702
109,天津市航空运动学校,A708
110,天津市南开中学南院,A703
111,南开社区学院,A700
112,南开区老年大学,A709
113,大港区第九小学,A702
114,天津公安警官职业学院,A700
115,天津大港第八中学,A703
116,天津市双港中学,A703
117,天津瑞景中学,A703
118,蓟县第二小学,A702
119,中北镇幼儿园,A701
120,英华学校北门,A703
121,河东区第十幼儿园,A701
122,大港区第二幼儿园,A701
123,芦台二小,A702
124,河东区教育中心,A709
125,开江道小学,A702
126,天津市河北区第十四幼儿园,A701
127,增产道小学,A702
128,天津七十八中学,A703
129,灰锅口中心小学,A702
130,农行天津分行培训中心,A709
131,天津市立德中学北校区,A703
132,天津市茂林技术学校,A708
133,天津商学院宝德学院,A700
134,下朱庄中心小学,A702
135,宝坻一中,A703
136,宝鑫幼儿园,A701
137,北环路小学,A702
138,红桥区第八幼儿园,A701
139,天津市工贸学校,A708
140,天津市交通技校驾校,A706
141,天津市晟楷中学,A703
142,南开区第五幼儿园,A701
143,天津市南孙庄中学,A703
144,南开职专黄河道校区,A708
145,天津市大港区第二幼儿园,A701
146,大港二中,A703
147,天津市宜兴埠驾校,A706
148,宜兴埠镇中心幼儿园,A701
149,天津九十六中,A703
150,天津市聋哑学校,A709
151,天津市园林学校,A708
152,杨村第五中学北门,A703
153,英华幼儿园,A701
154,城关镇第三小学,A702
155,天津市南英小学,A702
156,天津美术学院南院,A700
157,天津市第三十中学,A703
158,南开实验学校小学部,A702
159,汉沽成人中专,A708
160,河东一幼,A701
161,河东区第一中心小学,A702
162,新开中学,A703
163,静海县师范学校,A703
