红桥区西沽街大成中环城,"117.152359,39.163208"
津南区咸水沽鑫洋园,"117.409607,38.994065"
滨海新区大港街地球村,"117.451163,38.865819"
武清区体育中心北岸尚城,"117.011283,39.385830"
东丽区华明镇华润橡树湾茗润轩,"117.392893,39.179558"
滨海新区北塘街海泽苑,"117.697985,39.104731"
河北区江都路通达新苑,"117.239682,39.162044"
武清区黄庄鸿坤原乡郡,"117.036623,39.359424"
北辰区宜兴埠未来城沁雅苑,"117.217083,39.200931"
河西区友谊路文玥里,"117.215923,39.082442"
武清区杨村博盛园,"117.059457,39.390467"
河西区桃园街元兴新里,"117.208339,39.101754"
静海区团泊西招商依水郡,"117.075119,38.970951"
河北区铁东路华宜里,"117.205317,39.188980"
河西区尖山第六田园优仕庭园,"117.228206,39.056114"
河东区大王庄七纬路,"117.220183,39.127672"
和平区劝业场山西路,"117.199743,39.121124"
津南区海河教育园区仁恒海和院文澜花园,"117.360693,38.982774"
红桥区西营门和苑康和园,"117.110672,39.158282"
南开区万兴街长江里,"117.154893,39.128673"
河东区大直沽靓锦名居,"117.250051,39.116722"
河东区大王庄丰业里,"117.221069,39.127646"
河西区下瓦房信昌大楼,"117.221780,39.102563"
河东区大王庄六纬路(大王庄),"117.225872,39.119393"
滨海新区大港街港明里,"117.458390,38.845861"
滨海新区新港街新开里,"117.715209,39.004359"
南开区万兴街华章里,"117.158405,39.120373"
南开区学府街景湖里,"117.152030,39.115928"
北辰区北仓镇荣雅园,"117.088447,39.215632"
河东区唐家口欣荣馨苑,"117.228222,39.134639"
红桥区西沽街龙禧园,"117.142206,39.161409"
武清区杨村博盛园,"117.059457,39.390467"
南开区嘉陵道街博雅轩人才公寓,"117.147788,39.121081"
西青区张家窝保利尚林苑,"117.034548,39.050327"
滨海新区中新生态城和畅园(滨海新区),"117.747000,39.111911"
河西区越秀路珠海里,"117.211484,39.098804"
河北区望海楼金狮家园,"117.206593,39.150363"
河东区大直沽汇贤里,"117.243992,39.118849"
河西区东海街三水南里,"117.263153,39.056982"
河西区下瓦房晶采大厦,"117.223163,39.106356"
南开区体育中心街时代奥城,"117.166522,39.076408"
和平区南营门街复元里,"117.189634,39.115801"
河东区春华街秋实园,"117.208038,39.144024"
河北区江都路银山南里,"117.236292,39.155107"
河北区望海楼昆云里,"117.208015,39.157660"
滨海新区新村街惠安里,"117.648772,39.021359"
滨海新区古林街世纪花园(大港区),"117.478845,38.852867"
武清区新湾新湾花园北园,"117.066732,39.359562"
津南区八里台大唐盛世,"117.362404,38.912270"
西青区大寺亲和美园,"117.265960,39.006665"
河西区大营门广田里,"117.215645,39.111295"
津南区咸水沽富力又一城合安园,"117.394598,39.002432"
河东区上杭路万顺里,"117.265584,39.123912"
滨海新区大沽街远景庄园,"117.665835,38.988115"
滨海新区新城镇中骏皓景湾,"117.613311,38.988286"
东丽区新立街万科金域华府A区,"117.353376,39.088738"
河西区下瓦房琼州道,"117.224412,39.104880"
河东区大王庄丰盈里,"117.235108,39.118796"
滨海新区开发区荣鑫园,"117.687299,39.025604"
南开区王顶堤堤翠家园,"117.137254,39.096178"
津南区咸水沽惠丰花园兴旺居,"117.395774,38.989269"
津南区咸水沽富力又一城合雅园,"117.397181,38.998925"
