西青区大寺宇泰家园,"117.218933,39.034264"
河东区春华街城市之星大厦,"117.220158,39.149473"
北辰区果园新村朝阳里(北辰),"117.144737,39.227527"
东丽区万新街畅悦华庭,"117.29789,39.129489"
和平区劝业场和平翰林公馆,"117.203573,39.126583"
南开区王顶堤堤北里,"117.148425,39.103452"
东丽区张贵庄街夏欣园,"117.327618,39.118233"
北辰区双街镇国耀上河城,"117.110534,39.271231"
和平区劝业场融御融景铭邸,"117.211457,39.135993"
河东区春华街城市之星大厦,"117.220158,39.149473"
北辰区双街镇融创半湾半岛,"117.101681,39.279592"
北辰区天穆天物轩宇嘉园,"117.169137,39.208989"
河北区望海楼街昆云里,"117.21552,39.163223"
南开区体育中心融创奥城天玺,"117.176884,39.080994"
北辰区北仓蓝岸森林,"117.15203,39.218547"
塘沽区杭州道街时代名居(滨海),"113.590943,23.56226"
河东区常州道一品家园,"117.248784,39.150179"
和平区新兴街乐昌里小区,"117.187512,39.111779"
河东区二号桥黄岩里,"117.308333,39.095545"
河东区大王庄丰盛园,"117.2421,39.122567"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
津南区辛庄首创禧悦,"117.357074,39.042999"
和平区劝业场融御融景铭邸,"117.211457,39.135993"
红桥区铃铛阁街康华里,"117.166665,39.15156"
东丽区新立镇丰璟雅苑,"117.337732,39.089931"
塘沽区解放路街福星里,"117.675759,39.023666"
南开区天拖南盈江里,"117.14395,39.108312"
南开区王顶堤堤中里,"117.150766,39.103647"
河东区富民路恒大帝景,"117.267393,39.089966"
津南区咸水沽恒大悦府,"117.376686,38.983974"
河东区春华街巨福园公寓,"117.221978,39.148908"
塘沽区工农村街贻成豪庭,"117.659991,39.074564"
河东区常州道一品家园,"117.248784,39.150179"
南开区王顶堤凤园南里,"117.154546,39.092291"
北辰区瑞景街盛庭丽景花园,"117.116888,39.215441"
武清区杨村街富民里,"117.059172,39.369232"
西青区李七庄五矿榕园,"117.15125,39.054045"
河东区上杭路睿品大厦,"117.258585,39.127263"
东丽区空港经济区颐景公寓,"117.408182,39.15419"
塘沽区新港街新城家园,"116.656108,40.330058"
西青区大寺金谊花园,"117.228472,38.997635"
武清区杨村街中建壹方九里宸澜华庭,"117.093068,39.320443"
西青区李七庄融泰城,"117.15622,39.056378"
南开区黄河道熙汇广场,"117.129274,39.143159"
河西区小海地云江新苑,"117.261681,39.05819"
西青区大寺龙津园,"117.261177,39.020299"
西青区张家窝民盛里小区,"117.035908,39.07564"
西青区大寺金谊花园,"117.228472,38.997635"
武清区杨村街博盛园,"117.066003,39.396024"
西青区中北澜湾广场,"117.086964,39.138808"
塘沽区大沽街碧桂园天润园,"116.174168,39.76588"
和平区滨江道和平里尊盛园,"117.191192,39.127408"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
河东区春华街万春美钻大厦,"117.220261,39.150359"
津南区咸水沽华远景瑞海蓝城,"117.407949,38.986589"
南开区体育中心时代奥城,"117.172093,39.081604"
蓟州区渔阳镇鸿坤花语棠清园,"117.395318,40.041224"
大港区古林街泰达港湾,"121.442926,31.224004"
西青区海泰高新区金融街融汇,"117.095616,39.086803"
南开区体育中心时代奥城,"117.172093,39.081604"
南开区体育中心时代奥城,"117.172093,39.081604"
武清区杨村街祥福园二期,"117.08107,39.40155"
津南区辛庄兆恒广场,"117.350503,39.031966"
西青区中北姜井家园,"117.116951,39.137865"
武清区下朱庄街花样年花郡,"117.119696,39.339494"
西青区大寺金谊花园,"117.228472,38.997635"
河北区新开河街盛和家园,"117.192549,39.193458"
河北区光复道街君临大厦,"117.203854,39.138804"
西青区精武学畔馨园,"117.130122,39.055466"
河北区新开河街盛和家园,"117.192549,39.193458"
北辰区北仓蓝岸森林,"117.15203,39.218547"
南开区鼓楼龙亭家园,"117.190003,39.15091"
北辰区集贤里祥汇园,"117.137331,39.233168"
河东区常州道一品家园,"117.248784,39.150179"
红桥区西于庄街子牙东里,"117.165807,39.171779"
北辰区果园新村东升里(北辰),"117.146895,39.226706"
和平区体育馆诚基中心国际公寓,"117.206028,39.120778"
西青区中北华兴里(西青),"117.094311,39.085484"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
河东区大直沽东和家园,"117.255503,39.118857"
津南区双港顺和园,"117.292052,39.028896"
南开区华苑莹华里,"117.148228,39.088529"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
南开区万兴街义兴南里,"117.173668,39.125871"
西青区张家窝杰盛里,"117.041148,39.07098"
北辰区大张庄镇阳光城翡丽公园,"117.203253,39.319556"
河西区天塔富源里(河西),"117.199472,39.075502"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
南开区万兴街飞云东里,"117.163303,39.128282"
津南区辛庄首创城星景苑,"117.346341,39.029215"
静海区静海镇东方家园,"116.939913,38.939175"
津南区咸水沽金才园,"117.376902,38.989084"
南开区王顶堤堤北里,"117.148425,39.103452"
红桥区咸阳北路街亿城堂庭,"117.159515,39.179051"
北辰区集贤里安达里(北辰),"117.139364,39.2383"
宝坻区钰华街泰达金色领地,"117.303786,39.697582"
南开区万兴街地环里,"117.156388,39.12517"
西青区精武富家湾,"117.132191,39.057747"
塘沽区新港街华亭公寓,"121.192064,31.034592"
东丽区空港经济区金地悦城大境,"117.418821,39.148496"
塘沽区胡家园街远洋城滨华花园,"106.476313,29.536468"
开发区第四大街德圣公馆,"114.996337,35.804964"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
河东区一号桥金地紫乐广场,"117.289157,39.101021"
宝坻区海滨街梦泽家园,"117.308568,39.739682"
南开区体育中心奥翔园,"117.190148,39.076357"
宝坻区海滨街天秀园,"117.341911,39.734555"
南开区黄河道熙汇广场,"117.129274,39.143159"
河西区梅江南花样年喜年广场,"117.238905,39.050093"
北辰区普东街远洋未来城沁雅苑,"117.227214,39.20892"
武清区杨村街经纬城市绿洲华清家园,"117.01534,39.38594"
和平区滨江道拉萨道4号楼,"117.221467,39.12339"
塘沽区杭州道街宏达公寓(滨海),"119.827621,33.995647"
北辰区普东街宜彤园,"117.210122,39.202791"
河东区上杭路红星大厦,"117.260193,39.127482"
大港区迎宾街港明里,"117.465012,38.85207"
开发区第二大街贝肯山莫缇园,"114.996337,35.804964"
西青区新梅江南格调平园逸潞园,"117.21404,39.042993"
河东区上杭路万和里,"117.26888,39.13023"
南开区鼓楼九州国际,"117.185992,39.143761"
西青区李七庄富力津门湖景尚嘉郡花园,"117.209424,39.057098"
河西区土城七贤南里(商住楼),"117.248129,39.087949"
滨海新区中新生态城班芙小镇枫丹园,"117.795729,39.110618"
河东区大王庄丰盛园,"117.2421,39.122567"
河西区梅江津铁和苑,"117.229416,39.115718"
津南区咸水沽金才园,"117.376902,38.989084"
津南区咸水沽新旭园,"117.402665,38.987349"
东丽区张贵庄街润景家园,"117.319403,39.108986"
河东区春华街城市之星大厦,"117.220158,39.149473"
西青区杨柳青广悦里,"117.010068,39.144568"
河东区大王庄绚丽园,"117.225137,39.137363"
静海区静海镇地税聚泉楼,"116.92903,38.936"
河西区大营门三义大厦小区,"117.224042,39.116651"
塘沽区向阳街时代大厦,"116.134344,39.736694"
宝坻区朝霞街气象新苑,"117.296185,39.738769"
南开区王顶堤堤北里,"117.148425,39.103452"
东丽区东丽湖赏湖苑,"117.496585,39.188883"
北辰区青光盛锦园,"117.141403,39.230344"
塘沽区杭州道街中心北里,"117.66709,39.047293"
宁河区芦台镇东方尚都,"117.832393,39.336956"
大港区胜利街三春里,"117.463967,38.848408"
和平区体育馆福泰温泉公寓,"117.203078,39.117118"
