河西区下瓦房海河大观,"117.241848,39.106905"
河西区大营门海汇名邸,"117.231479,39.116725"
南开区体育中心街奥城公寓,"117.176268,39.083286"
西青区张家窝云璟公寓,"117.051581,39.058435"
河西区陈塘庄中冶德贤公馆,"117.250512,39.089873"
红桥区铃铛阁长庚老年公寓,"117.169566,39.147766"
津南区双港九州创意园,"117.314424,39.04945"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
南开区王顶堤中海御湖翰苑,"117.154844,39.087461"
津南区双港九州创意园,"117.314424,39.04945"
河东区太阳城UPUP公寓,"117.292738,39.155385"
西青区津门湖万科金奥广场,"117.199241,39.071745"
东丽区新立街蓝庭公寓,"117.373503,39.090749"
河北区光复道旺海·CLASS,"117.205565,39.141158"
河西区陈塘庄中冶德贤公馆,"117.250512,39.089873"
河西区尖山喜年广场,"117.23773,39.082472"
河北区光复道旺海·CLASS,"117.205565,39.141158"
东丽区金钟街保利玫瑰湾,"117.271446,39.17109"
武清区下朱庄富兴领寓,"117.087784,39.335773"
河东区上杭路红星大厦,"117.260193,39.127482"
滨海新区古林街新天地商业广场,"117.49517,38.851879"
河东区上杭路睿品大厦,"117.258585,39.127263"
和平区体育馆街君隆广场,"117.210689,39.122818"
东丽区华明镇建邦时代汇,"117.39184,39.173248"
河东区上杭路红星大厦,"117.260193,39.127482"
津南区双港富力桃园天域园,"117.28109,39.039811"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
河北区光复道瑞海大厦,"117.205992,39.146189"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
和平区体育馆街君隆广场,"117.210689,39.122818"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
南开区学府街松江置嘉公寓,"117.163735,39.12037"
红桥区铃铛阁长庚老年公寓,"117.169566,39.147766"
河东区唐家口东亚风尚国际,"117.228807,39.139816"
和平区南营门街瑞竹大厦,"117.188634,39.126063"
武清区下朱庄富兴领寓,"117.087784,39.335773"
东丽区新立街蓝庭公寓,"117.373503,39.090749"
河西区尖山东逸大厦,"117.241487,39.089271"
河北区光复道旺海·CLASS,"117.205565,39.141158"
武清区南湖汇景园,"117.132855,39.332848"
北辰区果园新村红郡雅苑,"117.147328,39.221572"
西青区张家窝天安数码城珑园,"117.035494,39.107121"
河北区光复道君临大厦,"117.203854,39.138804"
河北区光复道君临大厦,"117.203854,39.138804"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
津南区八里台香港建鑫城,"117.33176,38.951354"
河西区大营门天津富力中心,"117.223287,39.11848"
西青区大寺九策南奥雅居,"117.201751,39.022604"
宝坻区翡翠湾领秀新天地,"117.357495,39.745201"
西青区滨海高新区康达尚郡,"117.136577,39.09689"
南开区学府街天津科技广场,"117.159702,39.110873"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
南开区学府街松江置嘉公寓,"117.163735,39.12037"
和平区南营门街融创星河和平印,"117.192757,39.125239"
河北区铁东路荣泽大厦,"117.196544,39.185459"
河西区陈塘庄中冶德贤公馆,"117.250512,39.089873"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
河西区陈塘庄中冶德贤公馆,"117.250512,39.089873"
和平区小白楼港湾中心,"117.218206,39.135653"
西青区滨海高新区十华里,"117.133274,39.093683"
南开区学府街科贸时代公寓,"117.16993,39.119753"
东丽区空港经济区海航YOHO,"117.392556,39.168667"
河西区梅江富华梅江公馆,"117.230646,39.079856"
河西区陈塘庄中海寰宇天下,"117.260208,39.084902"
津南区双港首创禧悦汇,"117.285438,39.027433"
河北区铁东路北宁湾(宁宇家园),"117.215619,39.187509"
河西区大营门天津富力中心,"117.223287,39.11848"
河东区向阳楼公馆星期8,"117.259694,39.136369"
武清区下朱庄颐洋花园,"117.078593,39.336413"
南开区王顶堤融创中心,"117.15489,39.116281"
河东区上杭路红星大厦,"117.260193,39.127482"
武清区下朱庄富兴领寓,"117.087784,39.335773"
西青区中北镇新津国际,"117.103062,39.111189"
南开区王顶堤融创中心,"117.15489,39.116281"
红桥区西沽街西河名邸,"117.143965,39.172624"
津南区双港首创禧悦汇,"117.285438,39.027433"
河西区陈塘庄中海寰宇天下,"117.260208,39.084902"
北辰区双街清大园,"117.140962,39.268841"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
武清区杨村君利商厦,"117.075647,39.379625"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
武清区杨村君利商厦,"117.075647,39.379625"
武清区下朱庄富兴领寓,"117.087784,39.335773"
东丽区空港经济区海航YOHO,"117.392556,39.168667"
河西区陈塘庄中海学府公馆,"117.256317,39.08492"
滨海新区中新生态城东方文化广场,"117.758905,39.110853"
西青区津门湖万科金奥广场,"117.199241,39.071745"
和平区南营门街瑞竹大厦,"117.188634,39.126063"
河西区梅江富华梅江公馆,"117.230646,39.079856"
河北区光复道旺海·CLASS,"117.205565,39.141158"
西青区滨海高新区麦迪逊,"117.135523,39.094699"
河东区二号桥街紫乐广场,"117.289157,39.101021"
南开区鼓楼街尚佳新苑公寓,"117.185189,39.150955"
东丽区新立街蓝庭国际,"117.371305,39.091853"
北辰区果园新村红郡雅苑,"117.147328,39.221572"
河西区尖山喜年广场,"117.23773,39.082472"
南开区向阳路熙汇广场,"117.129274,39.143159"
西青区大寺银湾国际广场,"117.234946,39.024916"
南开区王顶堤中海御湖翰苑,"117.154844,39.087461"
河西区下瓦房恒华大厦,"117.230739,39.110301"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
和平区劝业场华润紫阳里,"117.205023,39.131566"
河西区下瓦房富裕大厦,"117.236845,39.106112"
河西区下瓦房海河大观,"117.241848,39.106905"
河西区友谊路恒盛SOHO,"117.217954,39.082192"
津南区双港富力桃园天域园,"117.28109,39.039811"
津南区双港九州创意园,"117.314424,39.04945"
河东区上杭路智运大厦,"117.281523,39.140344"
河西区陈塘庄北大资源阅城,"117.250017,39.085412"
滨海新区中新生态城东方文化广场,"117.758905,39.110853"
河北区铁东路北宁湾(宁宇家园),"117.215619,39.187509"
津南区双港拾光汇,"117.29987,39.042103"
南开区水上公园街逸秀园,"117.157452,39.099816"
武清区南湖汇景园,"117.132855,39.332848"
河北区光复道旺海·CLASS,"117.205565,39.141158"
西青区滨海高新区麦迪逊,"117.135523,39.094699"
西青区滨海高新区麦迪逊,"117.135523,39.094699"
河西区尖山喜年广场,"117.23773,39.082472"
东丽区新立街蓝庭国际,"117.371305,39.091853"
东丽区万新街金隅悦城雅香大厦,"117.319212,39.111124"
南开区体育中心街奥城商业广场,"117.176454,39.084249"
蓟州区蓟州城区祥和家园(蓟州),"117.432836,40.040745"
和平区南市天汇广场,"117.193311,39.136185"
和平区南营门街天津中心,"117.199935,39.125003"
西青区滨海高新区康达尚郡,"117.136577,39.09689"
河西区下瓦房恒华大厦,"117.230739,39.110301"
河西区陈塘庄中海寰宇天下,"117.260208,39.084902"
武清区杨村碧桂园大都汇,"117.053134,39.3699"
和平区体育馆街万科世贸广场,"117.20806,39.12328"
武清区武清其它金源丽都,"117.013551,39.300839"
北辰区天穆镇北辰大厦,"117.134718,39.227597"
河西区尖山格调绮园双迎公寓,"117.244538,39.084927"
武清区杨村君利商厦,"117.075647,39.379625"
河西区尖山喜年广场,"117.23773,39.082472"
南开区向阳路熙汇广场,"117.129274,39.143159"
河西区陈塘庄中冶德贤公馆,"117.250512,39.089873"
河东区春华街双赢大厦,"117.222436,39.14661"
津南区双港首创禧悦汇,"117.285438,39.027433"
和平区南市天汇广场,"117.193311,39.136185"
津南区双港联东U谷总部大观青年公社,"117.301413,39.043748"
河北区建昌道中国铁建公馆189,"117.240147,39.174111"
河北区建昌道中国铁建公馆189,"117.240147,39.174111"
河北区新开河首创大河公馆,"117.186539,39.169107"
红桥区西于庄公元大观,"117.142466,39.18084"
南开区体育中心街奥城公寓,"117.176268,39.083286"
