待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,㎡,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满二年,次新房,",138,万,15428,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,热门小区,新上小区,优势户型,",135,万,15883,元/㎡
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,㎡,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,热门小区,配套成熟,随时可看,",129,万,15895,元/㎡
国企开发 南北通透 主卧套房 大户型 中交·春风景里 无中介费随时看,2室,2厅,1卫,77,㎡,南北,,,中交·春风景里,红桥,双环邨街,龙泉道与辰兴路交口西南侧,"轨交房,高绿化率,",154,万,20000,元/㎡
紫泉庭苑 集中供暖 低容积 南向采光好 交通便利 商品住宅,2室,2厅,1卫,90,㎡,南,低层(共15层),2010年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满五年,",130,万,14445,元/㎡
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
保利锦上,2室,2厅,1卫,85,㎡,南,,,保利锦上,武清,杨村街,振华西道与建设路交口西侧,"购物中心,高绿化率,",173,万,20353,元/㎡
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,㎡,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,满五年,绿化率高,",120,万,14590,元/㎡
低密度社区 大两居 出行方便 近医院 商业配套成熟,2室,1厅,1卫,91.41,㎡,南,中层(共24层),2007年建造,盛世嘉园,河东,常州道,"凤凰路,近凤山路","南,热门小区,优势户型,房东急售,",136,万,14879,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",137,万,16310,元/㎡
大型社区 客餐厅相连 低总价 无中介费随时看,3室,2厅,2卫,105,㎡,南北,,,新城悦隽年华,武清,下朱庄街,文汇路与致远道交口,"低容积,",137,万,13048,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
