待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
新城悦隽央著 南向采光好 次新小区 停车方便 满二 电梯房,3室,2厅,1卫,94,㎡,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南,满二年,车位充足,人气热搜,",135,万,14362,元/㎡
降价124万！！急售新城悦隽央著十一中十三小紧邻杨村一中高铁,2室,2厅,1卫,87,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",124,万,14253,元/㎡
急售 十三小 十一中 新城悦隽央著 总价低 看房方便,2室,2厅,1卫,86.49,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",120,万,13875,元/㎡
南北通透 动静分离 大户型 保利朗阅 无中介费随时看,2室,2厅,1卫,81,㎡,南,,,保利朗阅,武清,豆张庄镇,新开路与来源道交口东北侧,"南北通透,厨卫全明,动静分离,低容积,",145.8,万,18000,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
装修好 购物方便 带电梯 小区新 满五   朝南,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
卧室全朝南 动静分离 大户型 天津远郊 荔城世纪 来电价格可议,2室,2厅,1卫,81,㎡,南北,,,荔城世纪,武清,杨村街,强国道与翠通路交口,"卧室全朝南,厨卫全明,动静分离,购物中心,",137.7,万,17000,元/㎡
新城悦隽央著精装修130万通透两室次新房随时看房,2室,2厅,1卫,89.53,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",130,万,14521,元/㎡
盛庭名景 精装两室 拎包入住 采光好 配套齐全 距离医院近,2室,2厅,1卫,86,㎡,南北,低层(共25层),2008年建造,盛庭名景花园,北辰,瑞景街,"辰景路,近新园路","南北,随时可看,",128,万,14884,元/㎡
新城央著 十一中 十三小旁 精装2室 超高性价比,2室,2厅,1卫,86.38,㎡,南北,高层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",128,万,14819,元/㎡
降价急售！  11电梯房 新城央著 南北通透小三居 好楼层,3室,2厅,1卫,94,㎡,南北,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,户型方正,",140,万,14894,元/㎡
国企开发 南北通透 客餐厅相连 大户型 中建时代公园 考虑可私聊,3室,2厅,1卫,89,㎡,南,,,中建时代公园,武清,豆张庄镇,来源道与新安路交口西北侧,"低容积,",160,万,17978,元/㎡
杨村街 大两房 南北通透 带电梯 满五 商品住宅 配套齐全,2室,2厅,1卫,85,㎡,南北,高层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",135,万,15883,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,多人关注,",135,万,15883,元/㎡
新城悦隽央著~3室洋房 11中 带车位 一天未住 中央湖公园,3室,2厅,1卫,109,㎡,南北,高层(共7层),2018年建造,新城悦隽央著,武清,杨村街,新安路,"热门小区,南北通透,房东急售,",150,万,13762,元/㎡
卧室全朝南 客餐厅相连 大户型 特变·中央湖 欢迎联系看房,2室,2厅,1卫,89,㎡,南北,,,特变·中央湖,武清,杨村街,滨湖路与慧源道交叉口西侧,"南北通透,厨卫全明,客餐厅相连,低容积,",146.9,万,16500,元/㎡
光明片 人生一梦，白云苍狗，为您爱的人，筑一座温馨家园！,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",115,万,13328,元/㎡
盛世郦园 满五   近医院 购物方便 有电梯 正南朝向,2室,2厅,0卫,94,㎡,南,低层(共24层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",129,万,13724,元/㎡
荔城公馆 满五   精装可拎包入住 楼龄新 大两居,2室,2厅,1卫,88.21,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",130,万,14738,元/㎡
厨卫全明 户型方正 大户型 天津远郊 经纬城市绿洲武清二期 无中介费随时看,3室,2厅,2卫,125,㎡,南北,,,经纬城市绿洲武清二期,武清,杨村街,雍和道与新安路交口,"南北通透,厨卫全明,双卫生间,高绿化率,",165,万,13200,元/㎡
