待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
可短租 6号线梅江会展中心 西青万达 环宇城 印力中心 独卫,1,0,30,高层(共6层)                                                    ,宇泰家园,西青,大寺,梨双路,"押一付一,配套齐全,精装修,南北通透,",1000,元/月
城市之星精装修，1700包采暖物业费，拎包入住,1,1,42.96,高层(共17层)                                                    ,城市之星大厦,河东,春华街,华龙道80号,"邻地铁,配套齐全,精装修,",1700,元/月
朝阳里(北辰) 2室1厅0卫 1300.0元 精装修,2,1,54.0,共5层                                                    ,朝阳里(北辰),北辰,果园新村,北辰路,"精装修,首次出租,随时看房,",1300,元/月
10号线 万山道地铁站 可短租押一付一 商圈完善 民水民电,1,0,30,中层(共30层)                                                    ,畅悦华庭,东丽,万新街,津滨大道,"邻地铁,押一付一,配套齐全,",1250,元/月
和平高档独居，装修豪华，价钱合适，此价只此一套，先到先得,1,1,46.37,低层(共62层)                                                    ,和平翰林公馆,和平,劝业场,滨江道221号,"邻地铁,配套齐全,精装修,",3700,元/月
嘎嘎装修！ 家电家具齐全 拎包入住，南北通透 价格可议干净！,2,1,76.55,高层(共6层)                                                    ,堤北里,南开,王顶堤,艳阳路,"邻地铁,精装修,",2700,元/月
整租张贵庄夏欣园2居室,2,1,77,低层(共11层)                                                    ,夏欣园,东丽,张贵庄街,津滨大道,"邻地铁,精装修,",2300,元/月
国耀上河城 2室1厅1卫 1900.0元 电梯房,2,1,90.0,高层(共34层)                                                    ,国耀上河城,北辰,双街镇,"双新大道,近顺境路",,1900,元/月
融景名邸 精装 观海河 地铁3 4号线和平路滨江道恒隆天河城,3,2,183.72,高层(共27层)                                                    ,融御融景铭邸,和平,劝业场,滨江道41号,"邻地铁,精装修,",17000,元/月
城市之星1室电梯房，天津站附近临地铁，家具齐全，拎包入住。,1,1,44.19,高层(共17层)                                                    ,城市之星大厦,河东,春华街,华龙道80号,"邻地铁,",1700,元/月
融创半湾半岛 2室2厅1卫 1500.0元 电梯房,2,2,82.4,高层(共28层)                                                    ,融创半湾半岛,北辰,双街镇,双进道,,1500,元/月
天物轩宇嘉园 2室1厅1卫 2600.0元 95.93平米,2,1,95.93,中层(共29层)                                                    ,天物轩宇嘉园,北辰,天穆,顺义道67号,,2600,元/月
整租  望海楼街  昆云里  1室1厅,1,1,40.96,高层(共7层)                                                    ,昆云里,河北,望海楼街,昆纬路99号,"邻地铁,精装修,",1900,元/月
