105115909768,"['西区', '铁城小学']",剑桥郡6区荣曜,210,15329,137,4室2厅,平层,东南 西北,其他,"
14712元/㎡
",2005-2018年,塔楼/平房,11栋,imgs/zs/zs_p10_0.jpg
﻿105115973407,"['坦洲镇', '坦洲镇']",中澳世纪城,82,10538,77.82,2室2厅,平层,北,毛坯,"
11980元/㎡
",2001-2017年,塔楼/板楼,24栋,imgs/zs/zs_p2_0.jpg
105115915649,"['坦洲镇', '坦洲镇']",御城金湾,50,12821,39,1室0厅,平层,南,精装,"
11478元/㎡
",2000-2019年,塔楼/塔板结合,12栋,imgs/zs/zs_p9_0.jpg
105115904981,"['南朗镇', '南朗镇']",锦绣海湾城御海园,80,8947,89.42,2室1厅,平层,南,其他,"
11639元/㎡
",1998-2016年,塔楼/板楼/塔板结合,96栋,imgs/zs/zs_p11_0.jpg
105115964228,"['坦洲镇', '坦洲镇']",东城四季,89,10554,84.33,2室2厅,平层,西北,其他,"
12125元/㎡
",1993-2018年,塔楼,41栋,imgs/zs/zs_p3_0.jpg
105115970097,"['东区', '槎桥']",恒大绿洲二期,106,11440,92.66,3室2厅,平层,南,其他,"
13378元/㎡
",2010-2017年,塔楼,13栋,imgs/zs/zs_p1_0.jpg
105115950440,"['火炬', '凯茵']",万科柏悦湾,115,12922,89,3室2厅,平层,东北,其他,"
16996元/㎡
",2008-2020年,塔楼/板楼/塔板结合,92栋,imgs/zs/zs_p4_0.jpg
105115883695,"['沙溪镇', '溪角中学']",华发四季,115,11500,100,3室2厅,平层,东南,其他,"
10383元/㎡
",1997-2021年,塔楼/塔板结合/平房,46栋,imgs/zs/zs_p14_0.jpg
105115943483,"['坦洲镇', '坦洲镇']",中澳世纪城,115,11171,102.95,3室2厅,平层,北,简装,"
11980元/㎡
",2001-2017年,塔楼/板楼,24栋,imgs/zs/zs_p5_0.jpg
105115930742,"['南区', '竹秀园']",合生帝景城,140,11908,117.57,3室2厅,平层,南,其他,"
11928元/㎡
",2015-2020年,塔楼/板楼,32栋,imgs/zs/zs_p7_0.jpg
105115846128,"['坦洲镇', '坦洲镇']",逸骏星园,118,12756,92.51,3室2厅,平层,东北,精装,"
14023元/㎡
",2003-2020年,塔楼/板楼/塔板结合,18栋,imgs/zs/zs_p21_0.jpg
105115839305,"['石岐区', '老安山']",岐江苑,63,6495,97,3室2厅,平层,南 北,其他,"
6349元/㎡
",1993-2000年,塔楼,23栋,imgs/zs/zs_p22_0.jpg
105115922797,"['石岐区', '张溪']",万科金域蓝湾（江员路10号）,100,11765,85,3室2厅,平层,西南,其他,"
13724元/㎡
",2010-2020年,塔楼/板楼,14栋,imgs/zs/zs_p8_0.jpg
105115868142,"['石岐区', '第一城小学']",豪逸御华庭,136,12112,112.29,3室2厅,平层,南 北,其他,"
13993元/㎡
",2010-2021年,塔板结合,15栋,imgs/zs/zs_p17_0.jpg
105115828258,"['东凤镇', '东凤镇']",万科金色家园悦府,85,9551,89,3室2厅,平层,东南,精装,"
9213元/㎡
",2000-2016年,板楼,14栋,imgs/zs/zs_p24_0.jpg
105115873652,"['坦洲镇', '坦洲镇']",汇翠山庄桃源居,100,10079,99.22,3室1厅,平层,西南 东北,简装,"
8823元/㎡
",1998-2017年,塔楼/板楼,35栋,imgs/zs/zs_p16_0.jpg
105115850379,"['石岐区', '民权路']",白水井,16.5,4580,36.03,1室1厅,平层,南,其他,"
6563元/㎡
",1983-2017年,塔楼,90栋,imgs/zs/zs_p20_0.jpg
105115855865,"['南朗镇', '南朗镇']",锦盛恒富祥,90,12331,72.99,2室2厅,平层,南,毛坯,"
12089元/㎡
",2019年,塔楼,5栋,imgs/zs/zs_p19_0.jpg
105115879723,"['西区', '博爱一北']",蓝波湾豪庭,132,11187,118,3室2厅,错层,南 北,其他,"
10349元/㎡
",2005-2012年,塔楼/板楼/平房,25栋,imgs/zs/zs_p15_0.jpg
105115890983,"['沙溪镇', '博爱一南']",中信左岸花园,88,9503,92.61,3室2厅,平层,南,精装,"
10470元/㎡
",2000-2016年,板楼/塔板结合/平房,11栋,imgs/zs/zs_p13_0.jpg
105115936238,"['三乡镇', '三乡镇']",富和名都二期,82,8131,100.85,3室2厅,平层,东北,其他,"
8869元/㎡
",2005-2016年,塔楼/板楼,6栋,imgs/zs/zs_p6_0.jpg
105115831958,"['南朗镇', '南朗镇']",雅居乐山海郡,120,11539,104,3室2厅,平层,北 南,其他,"
10605元/㎡
",2010-2020年,塔楼/板楼/塔板结合/平房,105栋,imgs/zs/zs_p23_0.jpg
105115898961,"['三乡镇', '三乡镇']",润颐居,75,8102,92.57,3室2厅,平层,东南,其他,"
9161元/㎡
",2003-2021年,塔楼/塔板结合/平房,27栋,imgs/zs/zs_p12_0.jpg
105115862071,"['三角镇', '三角镇']",融创月湾首府,110,11459,96,3室2厅,平层,东南,精装,"
10125元/㎡
",2010-2022年,塔楼/板楼/塔板结合/平房,17栋,imgs/zs/zs_p18_0.jpg
105115824397,"['坦洲镇', '坦洲镇']",中澳世纪城,91,11667,78,2室2厅,平层,北,精装,"
11980元/㎡
",2001-2017年,塔楼/板楼,24栋,imgs/zs/zs_p25_0.jpg
105115909765,"['港口镇', '华师附中']",东方骏园,95,9694,98,3室2厅,平层,南,其他,"
10970元/㎡
",2010-2020年,塔楼/板楼/塔板结合,17栋,imgs/zs/zs_p10_1.jpg
105115973307,"['火炬', '太阳城']",宇宏健康花城三期,90,9928,90.66,3室2厅,平层,东南,其他,"
11289元/㎡
",1998-2018年,塔楼,5栋,imgs/zs/zs_p2_1.jpg
